Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base,-0.0277896697354601,0.0234076931624306,0.0288009133438038,0,0,0,1.80445503916793,0.00557261131280998,1.30566192642701E-06,-0.000539475236936669,0.0133501948744146,4.5057309541013E-07,0.0165394809251447,0,0,0,0,0,0,package://urdf_v13/meshes/base.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_v13/meshes/base.STL,,base_link v5.step-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
"base_link ",0.0157132867710387,0.011527563469556,0.181315183145615,0,0,0,2.0908950803249,0.0136133861664865,4.81773478827004E-06,-8.58975681068001E-06,0.00966545437107063,-0.000408881289480725,0.00889732683613508,0,0,0,0,0,0,package://urdf_v13/meshes/base_link .STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_v13/meshes/base_link .STL,,moveo_basev2.step-1,Origin_joint_1,Axis_joint_1,joint_1,continuous,0,0,-0.0180509602434739,0,0,0,base,0,0,1,,,,,,,,,,,,
shoulder,0.0158644325831852,0.0250416390611225,0.17855530611738,0,0,0,1.93113192622589,0.0170862699501739,3.41462451953223E-06,-5.32111355364035E-07,0.0162697572670435,-0.000123096764239296,0.00359988405467639,0,0,0,0,0,0,package://urdf_v13/meshes/shoulder.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_v13/meshes/shoulder.STL,,moveo_shoulder_1.step-1,Origin_joint_2,Axis_joint_2,joint_2,continuous,0,0,0.166937311025839,0,0,0,"base_link ",0,1,0,,,,,,,,,,,,
elbow,0.0156751031156568,0.0231946110175747,0.141664731776711,0,0,0,0.777952609021552,0.00228138056803763,6.75259481652496E-08,-6.02427649407098E-07,0.00230093031518261,-3.06257703779093E-05,0.000730694022246971,0,0,0,0,0,0,package://urdf_v13/meshes/elbow.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_v13/meshes/elbow.STL,,mover_elbow_1.step-1,Origin_joint_3,Axis_joint_3,joint_3,continuous,0,0,0.221123792803555,0,0,0,shoulder,0,1,0,,,,,,,,,,,,
wrist_1,0.0159030354040345,0.0259392118518237,0.153821390871627,0,0,0,0.336033452724396,0.000698588486759076,-1.06886801075681E-06,4.79927277965645E-06,0.000573509249244581,1.1210347872576E-05,0.000348806449824869,0,0,0,0,0,0,package://urdf_v13/meshes/wrist_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_v13/meshes/wrist_1.STL,,moveo_wrist_1_1.step-1,Origin_joint_4,Axis_joint_4,joint_4,continuous,0,0.000500999999999197,0.129539254362447,0,0,0,elbow,0,0,1,,,,,,,,,,,,
wrist_2,0.0157674862176449,0.0237812522174354,0.102441849136459,0,0,0,0.158624033379916,8.93595815588674E-05,-2.61047265873393E-09,-6.69970075346958E-08,0.000106318553763208,-6.19881915619708E-07,7.50977668332816E-05,0,0,0,0,0,0,package://urdf_v13/meshes/wrist_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_v13/meshes/wrist_2.STL,,moveo_wrist_2_1.step-1,Origin_joint_5,Axis_joint_5,joint_5,continuous,0,0,0.0989607456375549,0,0,0,wrist_1,0,1,0,,,,,,,,,,,,
gripper_base,0.0311543631012245,0.0219860046701297,0.827225403554435,0,0,0,0.0669550622955671,2.2488510700292E-05,2.35779600515651E-06,-2.87441674027797E-06,3.18452559004306E-05,3.57683917730688E-07,3.6764941926078E-05,0,0,0,0,0,0,package://urdf_v13/meshes/gripper_base.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_v13/meshes/gripper_base.STL,,gripper_base_1.step-1,Origin_joint_6,Axis_joint_6,joint_6,fixed,0,-0.000501000000000529,-0.666561103829396,0,0,0,wrist_2,0,0,0,,,,,,,,,,,,
gear1,0.00313198684933286,-0.00793428519853567,-0.000937207722399469,0,0,0,0.00438273150204091,9.89317514920692E-07,1.98721217439533E-10,-7.64270897286561E-10,1.89001297656354E-07,4.2380206136184E-08,8.26162951691309E-07,0,0,0,0,0,0,package://urdf_v13/meshes/gear1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_v13/meshes/gear1.STL,,servo_gear_1.step-1,Origin_joint_72,Axis_joint_72,joint_7,continuous,0.012918,0.0098964,0.83019,-1.557,0.0046185,0.0046825,gripper_base,0.99999,0,-0.0046829,,,,,,,,,,,,
leg1-1,0.00929593827853653,-0.000672410163301662,0.0475923881852577,0,0,0,0.0106754375171177,4.10221567194112E-06,-1.70838921650436E-09,-9.73748421487221E-09,4.17675309849189E-06,-6.39771162925857E-07,5.77183539710229E-07,0,0,0,0,0,0,package://urdf_v13/meshes/leg1-1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_v13/meshes/leg1-1.STL,,gripper_leg_a_1.step-1,Origin_joint_11,Axis1,joint_11,continuous,-0.0058669,-0.019902,0.0073019,1.557,0.0046185,-0.0046825,gear1,0.99999,0,-0.0046829,,,,,,,,,,,,
gear2,-0.00318902666581239,-0.00793429231115339,-0.000907627991649673,0,0,0,0.00438273150118501,9.89317512176908E-07,1.98723840792223E-10,-7.64271429460756E-10,1.8900129733958E-07,4.23802040849066E-08,8.26162949301807E-07,0,0,0,0,0,0,package://urdf_v13/meshes/gear2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_v13/meshes/gear2.STL,,servo_gear_1.step2-2,Origin_joint_82,Axis_joint_82,joint_8,continuous,0.012869,0.037896,0.83019,-1.5571,-0.0047473,-3.1369,gripper_base,0.99999,0,-0.0046829,,,,,,,,,,,,
